X,Y,OBJECTID,SITE_ID,PI_NAME,ADDRESS,PI_NUMBER,LEAD,STATUS,REM_LEVEL,CEA_STATUS,CATEGORY,COUNTY
389898.9999,560424.0001,9560,654835,TRANSFORMER SPILL NEAR 126 HARBOURTON ROAD,126 Harbourton Mt. Airy Road,872297,LSRP,Active,B,,1,Mercer
424103.0001,351405.9998,9561,655126,25 MANITOBA TRAIL,25 MANITOBA TRL,877865,UHOT,Active,C1,,0,Burlington
486940.6001,575802.8099,9562,655175,"HENDERSON ROAD URBAN RENEWAL ASSOCIATES, LP",211 Henderson Road,992926,LSRP,Active,B,,,Middlesex
564596.9999,685697.9999,9563,655224,722 CHANCELLOR AVENUE,722 CHANCELLOR AVE,941256,LSRP,Active,B,,1,Essex
589133.0001,697519.9999,9564,655427,HARRISON TOWN LITTLE LEAGUE FIELD,728 HARRISON AVE,883720,LSRP,Active,B,,1,Hudson
554706,753869,9565,655473,5 BLOOM STREET,5 BLOOM ST,885530,LSRP,Active,C1,Ongoing,1,Morris
618025,747683.9999,9566,81982,CITY OF HACKENSACK,205 STATE ST,15639,LSRP,Active,C2,Ongoing,1,Bergen
599562.9999,787274.0002,9567,82252,MAPLE FOOD MARKET,553 MAPLE AVE N,G000024218,UHOT,Active,C2,,0,Bergen
324063,392246.9999,9568,82322,RELDON ENTERPRISES,2881 MT EPHRIAM AVE,G000024766,POST-REM,Active,C2,Ongoing,1,Camden
483684,449555.0001,9569,82580,6 MAIN STREET,6 MAIN ST,G000026124,POST-REM,Active - Post Rem,B,,1,Ocean
553277.9901,614073.9801,9570,82593,RARITAN BAY MEDICAL CENTER,471 LAWRIE ST,G000026845,LSRP,Active,B,,1,Middlesex
474511,475621.0001,9571,82642,WALNFORD PARK,91 WALNFORD RD,22463,RAP,Active - RAP,,Ongoing,0,Monmouth
580852.9999,762181.0001,9572,82697,LAHOUD PROPERTY FORMER,95 113 CLIFF ST,G000027658,RAP,Active - RAP,C2,,0,Passaic
622796,733958.0002,9573,82757,NEW YORK SUSQUEHANNA & WESTERN RAILWAY,BERGEN TPKE,G000028298,LSRP,Active,C1,,1,Bergen
211887,279964,9574,82760,MARLBORO MACHINE COMPANY INCORPORATED,962 BROADWAY S,G000028341,LSRP,Active,C2,,1,Salem
557754.0002,654865.9999,9575,178645,601 CURTIS STREET,601 CURTIS ST W,234128,,Active,C1,,0,Union
485336,176818.9999,9576,178672,103 31ST AVENUE,103 31ST AVE N,234161,,Active,C2,,0,Atlantic
568884.9999,684104.0001,9577,178733,383-385 LESLIE STREET,383-385 LESLIE ST,234235,,Active,C1,,0,Essex
393563.0001,610311.0001,9578,178753,FLEMINGTON WATER COMPANY WELL #6,ELWOOD & WILLIAMS ST,234257,PUB FUNDED,Active,C3,,2,Hunterdon
509325.9999,725148.0001,9579,178784,48 SOUTH JEFFERSON ROAD,48 S JEFFERSON RD,234291,RAP,Active - RAP,C2,,0,Morris
392922.0001,613444,9580,178789,54 EAST MAIN STREET,54 E MAIN ST,G000005778,LSRP,Active,C3,,1,Hunterdon
608420.9999,703154.0001,9581,178815,GALLO ASPHALT COMPANY SLF,NEW COUNTY RD,243562,RAP,Active - RAP,,Ongoing,0,Hudson
327891.9999,325813.9998,9582,178857,1 ARCTURUS DRIVE,1 ARCTURUS DR,234376,,Active,C1,,0,Gloucester
482660.0001,585804.9999,9583,179031,32 ORCHARD STREET,32 ORCH ST,234578,,Active,C1,,0,Somerset
612537.9998,808059.9999,9584,179157,TRI BORO SQUARE,100 900 MARKET ST,15604,LSRP,Active,C1,Ongoing,1,Bergen
577658,405438,9585,179253,CEDAR COVE MARINA,200 RT 166,438444,LSRP,Active,C2,,1,Ocean
589761.0001,756387.9999,9586,179326,30TH STREET CLEANERS,498 E 30TH ST,459511,RAP,Active - RAP,,Ongoing,0,Passaic
561877.0001,689003.9998,9587,179453,30 BECKER TERRACE,30 BECKER TER,235113,,Active,C1,,0,Essex
470640.9998,440509.0001,9588,179475,43 WRIGHTSTOWN COOKSTOWN ROAD,43 WRIGHTSTOWN COOKSTOWN RD,235139,,Active,C1,,0,Burlington
507102.0001,237222.9999,9589,179510,WINTERGREEN COURT GROUND WATER CONTAMINATION,WINTERGREEN CT,235195,PUB FUNDED,Active,C3,,2,Atlantic
